id,afi,bfi,di,Rafi,Rbfi
0,0,0,0,0,0
1,0,0,0,0,0
2,0,0,0,0,0
3,0,0,0,0,0
4,0,0,0,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,0,0,0,0,3.1
8,0,0,0,8.1,6    
9,0,0,0,13.3,10
10,0,0,0.5,16.54,18
11,32.11,11.3,1,15.5,17.27
12,32.11,11.3,1,13.3,16.1
13,26.31,9.26,1,12.30,13.8
14,26.31,9.26,1,12.3,12.85
15,26.31,9.26,1,12.35,12.95
16,25.64,9.03,1,12.40,12.3
17,25.64,9.03,1,11.8,11.3
18,25.64,9.03,1,11.1,11
19,23.2,8.16,1,10.39,10.84
20,23.2,8.16,1,9.7, 9.7
21,23.2,8.16,1,8.8, 9.2  
22,18.73,6.59,1,8.07,8.42
23,18.73,6.59,0.8,7.3, 7.9
24,18.73,6.59,0,7.1,7.1 
25,16.3,5.73,0,6.45,6.74
26,16.3,5.73,0,5.8, 5.9
27,16.3,5.73,0,4.9,5.1
28,13.83,4.87,0,4.64,4.84
29,13.83,4.87,0,2.1,1 
30,13.83,4.87,0,0,0
31,0,0,0,0,0
32,0,0,0,0,0
33,0,0,0,0,0
34,0,0,0,0,0
35,0,0,0,0,0
36,0,0,0,0,0